,Feature,weighted_graph_alphabet,weighted_graph_microsoft
0,number of nodes,9359.0,9168.0
1,number of edges,51099.0,47854.0
2,weighted edges sum,780569910035960.0,983898562788518.1
3,average node connections,10.92,10.44
4,maximum node connections,1843.0,1460.0
5,minimum node connections,1.0,1.0
6,average node incoming connections,5.46,5.22
7,maximum node incoming connections,57.0,56.0
8,minimum node incoming connections,1.0,1.0
9,average node outcoming connections,5.46,5.22
10,maximum node outcoming connections,1793.0,1410.0
11,minimum node outcoming connections,0.0,0.0
12,average closeness to other nodes,0.05,0.05
13,maximum closeness to other nodes,0.08,0.07
14,minimum closeness to other nodes,0.04,0.04
15,average node importance based on neighbors,0.01,0.01
16,maximum node importance based on neighbors,0.07,0.08
17,minimum node importance based on neighbors,0.0,0.0
18,average node importance based on incoming links,0.0,0.0
19,maximum node importance based on incoming links,0.03,0.05
20,minimum node importance based on incoming links,0.0,0.0
21,probability of connected communities,0.0,0.0
22,density,0.0,0.0
23,overall_reciprocity,0.04,0.04
24,wiener_index,inf,inf
25,global_efficiency_F,0.32,0.31
26,global_efficiency_T,0.0,0.0
27,local_efficiency_F,0.22,0.2
28,local_efficiency_T,0.1,0.09
29,cycle_basis_F,40806.0,37729.0
30,cycle_basis_T,2114.0,1992.0
31,triad_003,136137745305.0,127980750363.0
32,triad_012,432371131.0,396679137.0
33,triad_102,8567611.0,8619755.0
34,triad_021D,3705823.0,2782717.0
35,triad_021U,208871.0,192838.0
36,triad_021C,586364.0,574575.0
37,triad_111D,18942.0,20911.0
38,triad_111U,153541.0,131227.0
39,triad_030T,18870.0,16192.0
40,triad_030C,765.0,896.0
41,triad_201,1970.0,2029.0
42,triad_120D,869.0,875.0
43,triad_120U,2384.0,2313.0
44,triad_120C,749.0,927.0
45,triad_210,333.0,421.0
46,triad_300,31.0,40.0
