,Feature,G_value_alphabet,Gw_value_alphabet,G_value_microsoft,Gw_value_microsoft
0,number_nodes,84.0,84.0,78.0,78.0
1,number_edges,57.0,57.0,52.0,52.0
2,edges_weight_sum,57.0,12419077301.0,52.0,4238278038.0
3,degree_mean,1.36,1.36,1.33,1.33
4,degree_max,3.0,3.0,4.0,4.0
5,degree_min,1.0,1.0,1.0,1.0
6,indegree_mean,0.68,0.68,0.67,0.67
7,indegree_max,2.0,2.0,2.0,2.0
8,indegree_min,0.0,0.0,0.0,0.0
9,outdegree_mean,0.68,0.68,0.67,0.67
10,outdegree_max,3.0,3.0,4.0,4.0
11,outdegree_min,0.0,0.0,0.0,0.0
12,closeness_centrality_mean,0.01,0.01,0.01,0.01
13,closeness_centrality_max,0.02,0.02,0.03,0.03
14,closeness_centrality_min,0.0,0.0,0.0,0.0
15,eigenvector_centrality_mean,0.01,0.01,0.01,0.0
16,eigenvector_centrality_max,0.67,0.42,0.43,0.38
17,eigenvector_centrality_min,-0.24,-0.54,-0.29,-0.62
18,pagerank_mean,0.01,0.01,0.01,0.01
19,pagerank_max,0.03,0.03,0.03,0.03
20,pagerank_min,0.0,0.0,0.0,0.0
21,transitivity,0.0,0.0,0.0,0.0
22,density,0.01,0.01,0.01,0.01
23,overall_reciprocity,0.0,0.0,0.0,0.0
24,wiener_index,inf,inf,inf,inf
25,global_efficiency_F,0.01,0.01,0.01,0.01
26,global_efficiency_T,0.0,0.0,0.0,0.0
27,local_efficiency_F,0.01,0.01,0.01,0.01
28,local_efficiency_T,0.0,0.0,0.0,0.0
29,cycle_basis_F,20.0,20.0,18.0,18.0
30,cycle_basis_T,20.0,20.0,18.0,18.0
31,triad_003,92260.0,92260.0,73502.0,73502.0
32,triad_012,3014.0,3014.0,2564.0,2564.0
33,triad_102,0.0,0.0,0.0,0.0
34,triad_021D,9.0,9.0,8.0,8.0
35,triad_021U,1.0,1.0,1.0,1.0
36,triad_021C,0.0,0.0,1.0,1.0
37,triad_111D,0.0,0.0,0.0,0.0
38,triad_111U,0.0,0.0,0.0,0.0
39,triad_030T,0.0,0.0,0.0,0.0
40,triad_030C,0.0,0.0,0.0,0.0
41,triad_201,0.0,0.0,0.0,0.0
42,triad_120D,0.0,0.0,0.0,0.0
43,triad_120U,0.0,0.0,0.0,0.0
44,triad_120C,0.0,0.0,0.0,0.0
45,triad_210,0.0,0.0,0.0,0.0
46,triad_300,0.0,0.0,0.0,0.0
