,Feature,G_value_alphabet,Gw_value_alphabet,G_value_microsoft,Gw_value_microsoft
0,number_nodes,56.0,56.0,49.0,49.0
1,number_edges,35.0,35.0,29.0,29.0
2,edges_weight_sum,35.0,1656182594758.0,29.0,488043235641.0
3,degree_mean,1.25,1.25,1.18,1.18
4,degree_max,3.0,3.0,3.0,3.0
5,degree_min,1.0,1.0,1.0,1.0
6,indegree_mean,0.62,0.62,0.59,0.59
7,indegree_max,2.0,2.0,1.0,1.0
8,indegree_min,0.0,0.0,0.0,0.0
9,outdegree_mean,0.62,0.62,0.59,0.59
10,outdegree_max,2.0,2.0,2.0,2.0
11,outdegree_min,0.0,0.0,0.0,0.0
12,closeness_centrality_mean,0.01,0.01,0.01,0.01
13,closeness_centrality_max,0.02,0.02,0.02,0.02
14,closeness_centrality_min,0.0,0.0,0.0,0.0
15,eigenvector_centrality_mean,0.01,0.0,0.01,0.01
16,eigenvector_centrality_max,0.49,0.71,0.84,0.71
17,eigenvector_centrality_min,-0.56,-0.46,-0.32,-0.64
18,pagerank_mean,0.02,0.02,0.02,0.02
19,pagerank_max,0.09,0.09,0.07,0.07
20,pagerank_min,0.01,0.01,0.01,0.01
21,transitivity,0.0,0.0,0.0,0.0
22,density,0.01,0.01,0.01,0.01
23,overall_reciprocity,0.0,0.0,0.0,0.0
24,wiener_index,inf,inf,inf,inf
25,global_efficiency_F,0.02,0.02,0.02,0.02
26,global_efficiency_T,0.0,0.0,0.0,0.0
27,local_efficiency_F,0.02,0.02,0.02,0.02
28,local_efficiency_T,0.0,0.0,0.0,0.0
29,cycle_basis_F,11.0,11.0,7.0,7.0
30,cycle_basis_T,11.0,11.0,7.0,7.0
31,triad_003,26426.0,26426.0,17391.0,17391.0
32,triad_012,1292.0,1292.0,1032.0,1032.0
33,triad_102,0.0,0.0,0.0,0.0
34,triad_021D,2.0,2.0,1.0,1.0
35,triad_021U,0.0,0.0,0.0,0.0
36,triad_021C,0.0,0.0,0.0,0.0
37,triad_111D,0.0,0.0,0.0,0.0
38,triad_111U,0.0,0.0,0.0,0.0
39,triad_030T,0.0,0.0,0.0,0.0
40,triad_030C,0.0,0.0,0.0,0.0
41,triad_201,0.0,0.0,0.0,0.0
42,triad_120D,0.0,0.0,0.0,0.0
43,triad_120U,0.0,0.0,0.0,0.0
44,triad_120C,0.0,0.0,0.0,0.0
45,triad_210,0.0,0.0,0.0,0.0
46,triad_300,0.0,0.0,0.0,0.0
