,Feature,G_value_alphabet,Gw_value_alphabet,G_value_microsoft,Gw_value_microsoft
0,number_nodes,104.0,104.0,90.0,90.0
1,number_edges,66.0,66.0,61.0,61.0
2,edges_weight_sum,66.0,27425637004.0,61.0,1098012007573.0
3,degree_mean,1.27,1.27,1.36,1.36
4,degree_max,4.0,4.0,3.0,3.0
5,degree_min,1.0,1.0,1.0,1.0
6,indegree_mean,0.63,0.63,0.68,0.68
7,indegree_max,2.0,2.0,1.0,1.0
8,indegree_min,0.0,0.0,0.0,0.0
9,outdegree_mean,0.63,0.63,0.68,0.68
10,outdegree_max,3.0,3.0,3.0,3.0
11,outdegree_min,0.0,0.0,0.0,0.0
12,closeness_centrality_mean,0.0,0.0,0.0,0.0
13,closeness_centrality_max,0.02,0.02,0.01,0.01
14,closeness_centrality_min,0.0,0.0,0.0,0.0
15,eigenvector_centrality_mean,0.0,0.01,0.0,0.0
16,eigenvector_centrality_max,0.51,0.51,0.71,0.65
17,eigenvector_centrality_min,-0.43,-0.31,-0.26,-0.41
18,pagerank_mean,0.01,0.01,0.01,0.01
19,pagerank_max,0.05,0.05,0.03,0.03
20,pagerank_min,0.0,0.0,0.0,0.0
21,transitivity,0.0,0.0,0.0,0.0
22,density,0.01,0.01,0.01,0.01
23,overall_reciprocity,0.0,0.0,0.0,0.0
24,wiener_index,inf,inf,inf,inf
25,global_efficiency_F,0.01,0.01,0.01,0.01
26,global_efficiency_T,0.0,0.0,0.0,0.0
27,local_efficiency_F,0.04,0.04,0.06,0.06
28,local_efficiency_T,0.0,0.0,0.0,0.0
29,cycle_basis_F,18.0,18.0,24.0,24.0
30,cycle_basis_T,18.0,18.0,24.0,24.0
31,triad_003,177215.0,177215.0,114228.0,114228.0
32,triad_012,4882.0,4882.0,3248.0,3248.0
33,triad_102,0.0,0.0,0.0,0.0
34,triad_021D,5.0,5.0,4.0,4.0
35,triad_021U,1.0,1.0,0.0,0.0
36,triad_021C,1.0,1.0,0.0,0.0
37,triad_111D,0.0,0.0,0.0,0.0
38,triad_111U,0.0,0.0,0.0,0.0
39,triad_030T,0.0,0.0,0.0,0.0
40,triad_030C,0.0,0.0,0.0,0.0
41,triad_201,0.0,0.0,0.0,0.0
42,triad_120D,0.0,0.0,0.0,0.0
43,triad_120U,0.0,0.0,0.0,0.0
44,triad_120C,0.0,0.0,0.0,0.0
45,triad_210,0.0,0.0,0.0,0.0
46,triad_300,0.0,0.0,0.0,0.0
