,Feature,G_value_goldman,Gw_value_goldman,G_value_jpmorgan,Gw_value_jpmorgan,G_value_morganstanley,Gw_value_morganstanley
0,number_nodes,71.0,71.0,55.0,55.0,68.0,68.0
1,number_edges,45.0,45.0,42.0,42.0,46.0,46.0
2,edges_weight_sum,45.0,32302990653.0,42.0,787794453.0,46.0,3439658086141.0
3,degree_mean,1.27,1.27,1.53,1.53,1.35,1.35
4,degree_max,4.0,4.0,11.0,11.0,7.0,7.0
5,degree_min,1.0,1.0,1.0,1.0,1.0,1.0
6,indegree_mean,0.63,0.63,0.76,0.76,0.68,0.68
7,indegree_max,1.0,1.0,2.0,2.0,1.0,1.0
8,indegree_min,0.0,0.0,0.0,0.0,0.0,0.0
9,outdegree_mean,0.63,0.63,0.76,0.76,0.68,0.68
10,outdegree_max,4.0,4.0,11.0,11.0,7.0,7.0
11,outdegree_min,0.0,0.0,0.0,0.0,0.0,0.0
12,closeness_centrality_mean,0.01,0.01,0.01,0.01,0.01,0.01
13,closeness_centrality_max,0.01,0.01,0.04,0.04,0.02,0.02
14,closeness_centrality_min,0.0,0.0,0.0,0.0,0.0,0.0
15,eigenvector_centrality_mean,0.02,0.01,0.02,0.02,0.01,0.0
16,eigenvector_centrality_max,0.78,0.94,0.68,0.7,0.44,0.61
17,eigenvector_centrality_min,-0.19,-0.27,-0.36,-0.3,-0.51,-0.48
18,pagerank_mean,0.01,0.01,0.02,0.02,0.01,0.01
19,pagerank_max,0.05,0.05,0.05,0.05,0.04,0.04
20,pagerank_min,0.01,0.01,0.01,0.01,0.01,0.01
21,transitivity,0.0,0.0,0.0,0.0,0.0,0.0
22,density,0.01,0.01,0.01,0.01,0.01,0.01
23,overall_reciprocity,0.0,0.0,0.0,0.0,0.0,0.0
24,wiener_index,inf,inf,inf,inf,inf,inf
25,global_efficiency_F,0.02,0.02,0.05,0.05,0.02,0.02
26,global_efficiency_T,0.0,0.0,0.0,0.0,0.0,0.0
27,local_efficiency_F,0.0,0.0,0.02,0.02,0.0,0.0
28,local_efficiency_T,0.0,0.0,0.0,0.0,0.0,0.0
29,cycle_basis_F,7.0,7.0,11.0,11.0,11.0,11.0
30,cycle_basis_T,7.0,7.0,11.0,11.0,11.0,11.0
31,triad_003,54552.0,54552.0,24658.0,24658.0,47835.0,47835.0
32,triad_012,2584.0,2584.0,1511.0,1511.0,2252.0,2252.0
33,triad_102,0.0,0.0,0.0,0.0,0.0,0.0
34,triad_021D,19.0,19.0,64.0,64.0,28.0,28.0
35,triad_021U,0.0,0.0,1.0,1.0,0.0,0.0
36,triad_021C,0.0,0.0,1.0,1.0,1.0,1.0
37,triad_111D,0.0,0.0,0.0,0.0,0.0,0.0
38,triad_111U,0.0,0.0,0.0,0.0,0.0,0.0
39,triad_030T,0.0,0.0,0.0,0.0,0.0,0.0
40,triad_030C,0.0,0.0,0.0,0.0,0.0,0.0
41,triad_201,0.0,0.0,0.0,0.0,0.0,0.0
42,triad_120D,0.0,0.0,0.0,0.0,0.0,0.0
43,triad_120U,0.0,0.0,0.0,0.0,0.0,0.0
44,triad_120C,0.0,0.0,0.0,0.0,0.0,0.0
45,triad_210,0.0,0.0,0.0,0.0,0.0,0.0
46,triad_300,0.0,0.0,0.0,0.0,0.0,0.0
