,Feature,weighted_graph_pepsi,weighted_graph_coca
0,number of nodes,9727.0,9671.0
1,number of edges,57551.0,56187.0
2,weighted edges sum,877822473900684.0,930967720764908.0
3,average node connections,11.83,11.62
4,maximum node connections,1657.0,1682.0
5,minimum node connections,1.0,1.0
6,average node incoming connections,5.92,5.81
7,maximum node incoming connections,54.0,55.0
8,minimum node incoming connections,1.0,1.0
9,average node outcoming connections,5.92,5.81
10,maximum node outcoming connections,1609.0,1629.0
11,minimum node outcoming connections,0.0,0.0
12,average closeness to other nodes,0.07,0.07
13,maximum closeness to other nodes,0.09,0.09
14,minimum closeness to other nodes,0.05,0.05
15,average node importance based on neighbors,0.01,0.01
16,maximum node importance based on neighbors,0.07,0.06
17,minimum node importance based on neighbors,0.0,0.0
18,average node importance based on incoming links,0.0,0.0
19,maximum node importance based on incoming links,0.04,0.04
20,minimum node importance based on incoming links,0.0,0.0
21,probability of connected communities,0.0,0.0
22,density,0.0,0.0
23,overall_reciprocity,0.04,0.04
24,wiener_index,inf,inf
25,global_efficiency_F,0.31,0.31
26,global_efficiency_T,0.0,0.0
27,local_efficiency_F,0.24,0.23
28,local_efficiency_T,0.13,0.13
29,cycle_basis_F,46571.0,45297.0
30,cycle_basis_T,2795.0,2683.0
31,triad_003,152822024709.0,150203296577.0
32,triad_012,499902997.0,485819442.0
33,triad_102,12006653.0,11617703.0
34,triad_021D,3550543.0,3341197.0
35,triad_021U,253282.0,246970.0
36,triad_021C,672303.0,656964.0
37,triad_111D,26477.0,25257.0
38,triad_111U,152692.0,144022.0
39,triad_030T,19202.0,19836.0
40,triad_030C,946.0,901.0
41,triad_201,2101.0,2042.0
42,triad_120D,1048.0,1039.0
43,triad_120U,2295.0,2337.0
44,triad_120C,915.0,840.0
45,triad_210,368.0,386.0
46,triad_300,44.0,42.0
