,Feature,G_value_pepsi,Gw_value_pepsi,G_value_coca,Gw_value_coca
0,number_nodes,58.0,58.0,39.0,39.0
1,number_edges,34.0,34.0,25.0,25.0
2,edges_weight_sum,34.0,355760762.0,25.0,2747548278.0
3,degree_mean,1.17,1.17,1.28,1.28
4,degree_max,2.0,2.0,3.0,3.0
5,degree_min,1.0,1.0,1.0,1.0
6,indegree_mean,0.59,0.59,0.64,0.64
7,indegree_max,1.0,1.0,1.0,1.0
8,indegree_min,0.0,0.0,0.0,0.0
9,outdegree_mean,0.59,0.59,0.64,0.64
10,outdegree_max,2.0,2.0,2.0,2.0
11,outdegree_min,0.0,0.0,0.0,0.0
12,closeness_centrality_mean,0.01,0.01,0.01,0.01
13,closeness_centrality_max,0.02,0.02,0.03,0.03
14,closeness_centrality_min,0.0,0.0,0.0,0.0
15,eigenvector_centrality_mean,0.02,0.02,0.01,0.01
16,eigenvector_centrality_max,0.58,0.52,0.68,0.5
17,eigenvector_centrality_min,-0.31,-0.46,-0.62,-0.51
18,pagerank_mean,0.02,0.02,0.03,0.03
19,pagerank_max,0.05,0.05,0.07,0.07
20,pagerank_min,0.01,0.01,0.01,0.01
21,transitivity,0.0,0.0,0.0,0.0
22,density,0.01,0.01,0.02,0.02
23,overall_reciprocity,0.0,0.0,0.0,0.0
24,wiener_index,inf,inf,inf,inf
25,global_efficiency_F,0.02,0.02,0.02,0.02
26,global_efficiency_T,0.0,0.0,0.0,0.0
27,local_efficiency_F,0.0,0.0,0.03,0.03
28,local_efficiency_T,0.0,0.0,0.0,0.0
29,cycle_basis_F,9.0,9.0,9.0,9.0
30,cycle_basis_T,9.0,9.0,9.0,9.0
31,triad_003,29457.0,29457.0,8548.0,8548.0
32,triad_012,1398.0,1398.0,590.0,590.0
33,triad_102,0.0,0.0,0.0,0.0
34,triad_021D,1.0,1.0,1.0,1.0
35,triad_021U,0.0,0.0,0.0,0.0
36,triad_021C,0.0,0.0,0.0,0.0
37,triad_111D,0.0,0.0,0.0,0.0
38,triad_111U,0.0,0.0,0.0,0.0
39,triad_030T,0.0,0.0,0.0,0.0
40,triad_030C,0.0,0.0,0.0,0.0
41,triad_201,0.0,0.0,0.0,0.0
42,triad_120D,0.0,0.0,0.0,0.0
43,triad_120U,0.0,0.0,0.0,0.0
44,triad_120C,0.0,0.0,0.0,0.0
45,triad_210,0.0,0.0,0.0,0.0
46,triad_300,0.0,0.0,0.0,0.0
