,Feature,G_value_pepsi,Gw_value_pepsi,G_value_coca,Gw_value_coca
0,number_nodes,63.0,63.0,59.0,59.0
1,number_edges,42.0,42.0,38.0,38.0
2,edges_weight_sum,42.0,34714008167.0,38.0,744489425357.0
3,degree_mean,1.33,1.33,1.29,1.29
4,degree_max,7.0,7.0,4.0,4.0
5,degree_min,1.0,1.0,1.0,1.0
6,indegree_mean,0.67,0.67,0.64,0.64
7,indegree_max,1.0,1.0,2.0,2.0
8,indegree_min,0.0,0.0,0.0,0.0
9,outdegree_mean,0.67,0.67,0.64,0.64
10,outdegree_max,7.0,7.0,4.0,4.0
11,outdegree_min,0.0,0.0,0.0,0.0
12,closeness_centrality_mean,0.01,0.01,0.01,0.01
13,closeness_centrality_max,0.02,0.02,0.02,0.02
14,closeness_centrality_min,0.0,0.0,0.0,0.0
15,eigenvector_centrality_mean,0.01,0.0,0.01,0.01
16,eigenvector_centrality_max,0.73,0.63,0.58,0.4
17,eigenvector_centrality_min,-0.33,-0.38,-0.42,-0.76
18,pagerank_mean,0.02,0.02,0.02,0.02
19,pagerank_max,0.04,0.04,0.09,0.09
20,pagerank_min,0.01,0.01,0.01,0.01
21,transitivity,0.0,0.0,0.0,0.0
22,density,0.01,0.01,0.01,0.01
23,overall_reciprocity,0.0,0.0,0.0,0.0
24,wiener_index,inf,inf,inf,inf
25,global_efficiency_F,0.02,0.02,0.02,0.02
26,global_efficiency_T,0.0,0.0,0.0,0.0
27,local_efficiency_F,0.0,0.0,0.02,0.02
28,local_efficiency_T,0.0,0.0,0.0,0.0
29,cycle_basis_F,12.0,12.0,10.0,10.0
30,cycle_basis_T,12.0,12.0,10.0,10.0
31,triad_003,37905.0,37905.0,30923.0,30923.0
32,triad_012,1782.0,1782.0,1576.0,1576.0
33,triad_102,0.0,0.0,0.0,0.0
34,triad_021D,24.0,24.0,10.0,10.0
35,triad_021U,0.0,0.0,0.0,0.0
36,triad_021C,0.0,0.0,0.0,0.0
37,triad_111D,0.0,0.0,0.0,0.0
38,triad_111U,0.0,0.0,0.0,0.0
39,triad_030T,0.0,0.0,0.0,0.0
40,triad_030C,0.0,0.0,0.0,0.0
41,triad_201,0.0,0.0,0.0,0.0
42,triad_120D,0.0,0.0,0.0,0.0
43,triad_120U,0.0,0.0,0.0,0.0
44,triad_120C,0.0,0.0,0.0,0.0
45,triad_210,0.0,0.0,0.0,0.0
46,triad_300,0.0,0.0,0.0,0.0
